Subject	shword	Resp	RT	step	sword	TrialCount	wavfile	which	Sresp	StepNum
207	sheremony	5	643	step4	ceremony	189	Continuua/ceremony_sheremony/stimulus004.wav	one	5	4
207	foshil	5	729	step4	fossil	190	Continuua/fossil_foshil/stimulus004.wav	one	5	4
207	croishant	1	1460	step11	croissant	191	Continuua/croissant_croishant/stimulus011.wav	one	5	11
207	pharmashy	1	1114	step11	pharmacy	192	Continuua/pharmacy_pharmashy/stimulus011.wav	one	5	11
207	ashi	1	1553	step8	asi	193	Continuua/asi_ashi/stimulus008.wav	both	5	8
207	shilver	1	761	step7	silver	194	Continuua/silver_shilver/stimulus007.wav	one	5	7
207	shailboat	1	823	step7	sailboat	195	Continuua/sailboat_shailboat/stimulus007.wav	one	5	7
207	medishine	5	734	step4	medicine	196	Continuua/medicine_medishine/stimulus004.wav	one	5	4
207	dansher	5	634	step4	dancer	197	Continuua/dancer_dansher/stimulus004.wav	one	5	4
207	shafari	5	689	step4	safari	198	Continuua/safari_shafari/stimulus004.wav	one	5	4
207	shelery	5	670	step3	celery	199	Continuua/celery_shelery/stimulus003.wav	one	5	3
207	shurfboard	5	655	step2	surfboard	200	Continuua/surfboard_shurfboard/stimulus002.wav	one	5	2
207	shelery	1	791	step11	celery	201	Continuua/celery_shelery/stimulus011.wav	one	5	11
207	shubmarine	5	634	step2	submarine	202	Continuua/submarine_shubmarine/stimulus002.wav	one	5	2
207	shack	5	659	step3	sack	203	Continuua/sack_shack/stimulus003.wav	both	5	3
207	shock	5	590	step5	sock	204	Continuua/sock_shock/stimulus005.wav	both	5	5
207	shurfboard	5	598	step1	surfboard	205	Continuua/surfboard_shurfboard/stimulus001.wav	one	5	1
207	dansher	1	722	step8	dancer	206	Continuua/dancer_dansher/stimulus008.wav	one	5	8
207	shubmarine	1	601	step6	submarine	207	Continuua/submarine_shubmarine/stimulus006.wav	one	5	6
207	tashel	1	959	step7	tassel	208	Continuua/tassel_tashel/stimulus007.wav	one	5	7
207	shurfboard	1	1000	step10	surfboard	209	Continuua/surfboard_shurfboard/stimulus010.wav	one	5	10
207	shement	5	639	step3	cement	210	Continuua/cement_shement/stimulus003.wav	one	5	3
207	shafari	5	686	step3	safari	211	Continuua/safari_shafari/stimulus003.wav	one	5	3
207	shilver	1	632	step8	silver	212	Continuua/silver_shilver/stimulus008.wav	one	5	8
207	shy	1	987	step6	sigh	213	Continuua/sigh_shy/stimulus006.wav	both	5	6
207	sheiling	1	830	step10	ceiling	214	Continuua/ceiling_sheiling/stimulus010.wav	one	5	10
207	whishtle	5	893	step5	whistle	215	Continuua/whistle_whishle/stimulus005.wav	one	5	5
207	ashi	1	776	step11	asi	216	Continuua/asi_ashi/stimulus011.wav	both	5	11
207	sheminar	5	651	step1	seminar	217	Continuua/seminar_sheminar/stimulus001.wav	one	5	1
207	currenshy	1	903	step9	currency	218	Continuua/currency_currenshy/stimulus009.wav	one	5	9
207	sheiling	5	672	step3	ceiling	219	Continuua/ceiling_sheiling/stimulus003.wav	one	5	3
207	shailboat	5	1084	step6	sailboat	220	Continuua/sailboat_shailboat/stimulus006.wav	one	5	6
207	curshor	5	798	step6	cursor	221	Continuua/cursor_curshor/stimulus006.wav	one	5	6
207	curtshy	1	818	step8	curtsy	222	Continuua/curtsy_curtshy/stimulus008.wav	one	5	8
207	whishtle	1	648	step11	whistle	223	Continuua/whistle_whishle/stimulus011.wav	one	5	11
207	mishile	1	669	step10	missile	224	Continuua/missile_mishile/stimulus010.wav	one	5	10
207	monshoon	1	914	step9	monsoon	225	Continuua/monsoon_monshoon/stimulus009.wav	one	5	9
207	pharmashy	1	796	step7	pharmacy	226	Continuua/pharmacy_pharmashy/stimulus007.wav	one	5	7
207	sheiling	5	986	step2	ceiling	227	Continuua/ceiling_sheiling/stimulus002.wav	one	5	2
207	shurfboard	1	903	step9	surfboard	228	Continuua/surfboard_shurfboard/stimulus009.wav	one	5	9
207	shailboat	5	968	step1	sailboat	229	Continuua/sailboat_shailboat/stimulus001.wav	one	5	1
207	shy	5	741	step3	sigh	230	Continuua/sigh_shy/stimulus003.wav	both	5	3
207	cashtle	5	725	step4	castle	231	Continuua/castle_cashle/stimulus004.wav	one	5	4
207	shin	5	761	step1	sin	232	Continuua/sin_shin/stimulus001.wav	both	5	1
207	shock	1	727	step10	sock	233	Continuua/sock_shock/stimulus010.wav	both	5	10
207	whishtle	5	711	step4	whistle	234	Continuua/whistle_whishle/stimulus004.wav	one	5	4
207	shatellite	1	761	step10	satellite	235	Continuua/satellite_shatellite/stimulus010.wav	one	5	10
207	shilver	5	694	step4	silver	236	Continuua/silver_shilver/stimulus004.wav	one	5	4
207	shaddle	5	2317	step7	saddle	237	Continuua/saddle_shaddle/stimulus007.wav	one	5	7
207	whishtle	1	4036	step7	whistle	238	Continuua/whistle_whishle/stimulus007.wav	one	5	7
207	shocket	5	1145	step2	socket	239	Continuua/socket_shocket/stimulus002.wav	one	5	2
207	shack	5	753	step2	sack	240	Continuua/sack_shack/stimulus002.wav	both	5	2
207	shunroof	1	890	step9	sunroof	241	Continuua/sunroof_shunroof/stimulus009.wav	one	5	9
207	dansher	5	1429	step7	dancer	242	Continuua/dancer_dansher/stimulus007.wav	one	5	7
207	shector	1	853	step8	sector	243	Continuua/sector_shector/stimulus008.wav	one	5	8
207	shurfboard	5	757	step3	surfboard	244	Continuua/surfboard_shurfboard/stimulus003.wav	one	5	3
207	curshor	5	600	step2	cursor	245	Continuua/cursor_curshor/stimulus002.wav	one	5	2
207	ashi	5	678	step4	asi	246	Continuua/asi_ashi/stimulus004.wav	both	5	4
207	sheiling	1	756	step8	ceiling	247	Continuua/ceiling_sheiling/stimulus008.wav	one	5	8
207	penshil	1	674	step11	pencil	248	Continuua/pencil_penshil/stimulus011.wav	one	5	11
207	shafari	1	827	step6	safari	249	Continuua/safari_shafari/stimulus006.wav	one	5	6
207	shy	1	820	step9	sigh	250	Continuua/sigh_shy/stimulus009.wav	both	5	9
207	caroushel	5	921	step1	carousel	251	Continuua/carousel_caroushel/stimulus001.wav	one	5	1
207	ashi	5	757	step1	asi	252	Continuua/asi_ashi/stimulus001.wav	both	5	1
207	conshert	5	818	step3	concert	253	Continuua/concert_conshert/stimulus003.wav	one	5	3
207	shettlement	5	869	step5	settlement	254	Continuua/settlement_shettlement/stimulus005.wav	one	5	5
207	monshoon	5	1520	step7	monsoon	255	Continuua/monsoon_monshoon/stimulus007.wav	one	5	7
207	shector	5	653	step3	sector	256	Continuua/sector_shector/stimulus003.wav	one	5	3
207	tashel	5	685	step1	tassel	257	Continuua/tassel_tashel/stimulus001.wav	one	5	1
207	croishant	5	2285	step2	croissant	258	Continuua/croissant_croishant/stimulus002.wav	one	5	2
207	shement	5	582	step1	cement	259	Continuua/cement_shement/stimulus001.wav	one	5	1
207	galakshy	1	1113	step9	galaxy	260	Continuua/galaxy_galakshy/stimulus009.wav	one	5	9
207	ashi	1	694	step7	asi	261	Continuua/asi_ashi/stimulus007.wav	both	5	7
207	shidewalk	1	934	step11	sidewalk	262	Continuua/sidewalk_shidewalk/stimulus011.wav	one	5	11
207	galakshy	5	872	step5	galaxy	263	Continuua/galaxy_galakshy/stimulus005.wav	one	5	5
207	shack	5	683	step1	sack	264	Continuua/sack_shack/stimulus001.wav	both	5	1
207	shunroof	5	805	step2	sunroof	265	Continuua/sunroof_shunroof/stimulus002.wav	one	5	2
207	medishine	1	726	step10	medicine	266	Continuua/medicine_medishine/stimulus010.wav	one	5	10
207	foshil	5	733	step1	fossil	267	Continuua/fossil_foshil/stimulus001.wav	one	5	1
207	curshor	5	587	step1	cursor	268	Continuua/cursor_curshor/stimulus001.wav	one	5	1
207	penshil	1	713	step9	pencil	269	Continuua/pencil_penshil/stimulus009.wav	one	5	9
207	penshil	5	690	step1	pencil	270	Continuua/pencil_penshil/stimulus001.wav	one	5	1
207	shunroof	5	727	step4	sunroof	271	Continuua/sunroof_shunroof/stimulus004.wav	one	5	4
207	shailboat	1	882	step9	sailboat	272	Continuua/sailboat_shailboat/stimulus009.wav	one	5	9
207	sheminar	5	735	step4	seminar	273	Continuua/seminar_sheminar/stimulus004.wav	one	5	4
207	curshor	5	650	step4	cursor	274	Continuua/cursor_curshor/stimulus004.wav	one	5	4
207	shatellite	1	690	step8	satellite	275	Continuua/satellite_shatellite/stimulus008.wav	one	5	8
207	conshert	1	798	step11	concert	276	Continuua/concert_conshert/stimulus011.wav	one	5	11
207	faushet	5	1017	step3	faucet	277	Continuua/faucet_faushet/stimulus003.wav	one	5	3
207	dinoshaur	5	2171	step4	dinosaur	278	Continuua/dinosaur_dinoshaur/stimulus004.wav	one	5	4
207	ashi	1	1262	step10	asi	279	Continuua/asi_ashi/stimulus010.wav	both	5	10
207	dansher	5	651	step2	dancer	280	Continuua/dancer_dansher/stimulus002.wav	one	5	2
207	conshert	5	1123	step5	concert	281	Continuua/concert_conshert/stimulus005.wav	one	5	5
207	shement	5	858	step5	cement	282	Continuua/cement_shement/stimulus005.wav	one	5	5
207	galakshy	5	2333	step7	galaxy	283	Continuua/galaxy_galakshy/stimulus007.wav	one	5	7
207	medishine	5	867	step5	medicine	284	Continuua/medicine_medishine/stimulus005.wav	one	5	5
207	tashel	1	965	step8	tassel	285	Continuua/tassel_tashel/stimulus008.wav	one	5	8
207	shelery	5	796	step5	celery	286	Continuua/celery_shelery/stimulus005.wav	one	5	5
207	foshil	1	835	step10	fossil	287	Continuua/fossil_foshil/stimulus010.wav	one	5	10
207	shy	1	800	step7	sigh	288	Continuua/sigh_shy/stimulus007.wav	both	5	7
207	shocket	1	779	step9	socket	289	Continuua/socket_shocket/stimulus009.wav	one	5	9
207	sheremony	1	1159	step9	ceremony	290	Continuua/ceremony_sheremony/stimulus009.wav	one	5	9
207	dinoshaur	5	1153	step1	dinosaur	291	Continuua/dinosaur_dinoshaur/stimulus001.wav	one	5	1
207	shunroof	5	712	step1	sunroof	292	Continuua/sunroof_shunroof/stimulus001.wav	one	5	1
207	shock	5	586	step3	sock	293	Continuua/sock_shock/stimulus003.wav	both	5	3
